"word1","word2","n"
"dhe","star",2224
"homeowner","exemptions",2224
"sche","dhe",2224
"star","veterans",2224
"veterans","clergy",2224
"victim","homeowner",2224
"drinking","water",2179
"bathtub","drain",2155
"heavy","rainfall",2155
"sewage","coming",2155
"sink","drain",2155
"toilet","sink",2155
"pay","taxes",2151
"taxes","collected",2151
"water","quality",2136
"account","issues",2130
"filed","business",2130
"filing","payment",2130
"tax","return",2130
"2020","census",2124
"request","schedule",2116
"building","water",2056
"water","tank",2056
"odor","taste",2055
"tank","inspections",2055
"taste","discolor",2055
"water","learn",2055
"water","odor",2055
"court","including",2045
"family","court",2045
"including","locations",2045
"city","street",2040
"criminal","activity",2018
"building","occupancy",2002
"illegal","building",2002
"past","conversion",2002
"sexual","harassment",2000
"cat","calling",1982
"domestic","violence",1982
"harassment","cat",1982
"harassment","including",1982
"including","sexual",1982
"services","including",1966
"actionnyc","immigration",1965
"applications","resources",1965
"citizenship","applications",1965
"immigration","legal",1965
"including","actionnyc",1965
"report","discrimination",1893
"employment","housing",1880
"housing","public",1880
"public","accommodations",1880
"bakery","food",1824
"cafeteria","bakery",1824
"cart","stand",1824
"deli","grocery",1824
"food","cart",1824
"grocery","market",1824
"market","cafeteria",1824
"restaurant","deli",1824
"stand","truck",1824
"unsanitary","restaurant",1824
"senior","center",1821
"nyc","marshal",1817
"marriage","license",1805
"illegal","drug",1780
"u.s","2020",1775
"affordable","apartment",1767
"housing","plan",1767
"housing","study",1767
"property","owners",1692
"permit","inspection",1673
"pre","permit",1673
"support","hotline",1671
"power","outage",1670
"nycha","section",1659
"basement","learn",1656
"prevent","leaks",1656
"missing","person",1649
"ages","60",1640
"yorkers","ages",1640
"repeatedly","occupies",1639
"elected","officials",1635
"federal","elected",1633
"air","quality",1632
"recorded","information",1628
"rent","controlled",1628
"walk","signal",1622
"public","housing",1617
"eviction","notice",1580
"homebase","program",1580
"check","application",1575
"nycha","public",1575
"status","learn",1575
"earlylearn","nyc",1543
"report","stolen",1509
"stolen","property",1509
"memorial","day",1501
"fire","hydrant",1495
"advertising","sign",1493
"atm","advertising",1493
"fruit","stand",1493
"merchandise","tree",1493
"restaurant","fruit",1493
"sign","merchandise",1493
"stand","atm",1493
"street","blocked",1493
"tree","vendor",1493
"vendor","dumpster",1493
"entering","someone's",1491
"report","trespassing",1491
"someone's","property",1491
"current","time",1489
"today's","date",1489
"proper","disposal",1471
"water","main",1466
"police","custody",1448
"found","guilty",1442
"hearing","decision",1442
"violation","hearing",1442
"city","tree",1438
"tax","class",1431
"nursing","home",1418
"report","abuse",1407
"recycling","collection",1404
"homeless","people",1391
"orthodontic","services",1390
"homeowners","exemption",1387
"enrollment","center",1373
"health","hazards",1373
"idnyc","issues",1373
"issues","status",1373
"mobile","enrollment",1373
"police","officer",1372
"sidewalk","violation",1365
"violation","request",1365
"report","worker",1342
"worker","health",1342
"worker","safety",1342
"civil","service",1335
"authority","discourtesy",1326
"force","abuse",1326
"nypd","criminal",1326
"offensive","language",1326
"officer","report",1326
"report","nypd",1326
"report","unnecessary",1326
"18","inches",1310
"gutter","including",1310
"including","18",1310
"dangerous","condition",1303
"request","pruning",1302
"tree","pruning",1302
"exams","including",1298
"fees","change",1298
"including","results",1298
"personal","information",1298
"results","schedules",1298
"schedules","fees",1298
"service","exams",1298
"business","employ",1273
"employ","capital",1273
"lease","property",1273
"meter","information",1247
"start","stop",1247
"child","abuse",1241
"abandoned","animal",1232
"kidnapped","check",1221
"missing","abducted",1221
"care","program",1208
"apartment","defective",1207
"electrical","equipment",1207
"exposed","wiring",1207
"faulty","outdoor",1207
"outdoor","electrical",1207
"nyc","child",1203
"identify","theft",1201
"report","identify",1201
"wild","animals",1198
"report","wild",1197
"wildlife","including",1197
"parking","meter",1194
"property","damage",1194
"cable","tv",1193
"internet","provider",1193
"tv","phone",1193
"driver","photo",1192
"id","card",1192
"photo","id",1192
"curbside","tree",1176
"citizen","homeowners",1161
"city","agency",1147
"batteries","oil",1121
"oil","paint",1121
"special","waste",1121
"transportation","options",1114
"building","owner",1101
"city","contractor",1100
"code","noise",1095
"current","noise",1095
"noise","code",1095
"noise","reduction",1095
"noise","safety",1095
"reduction","projects",1095
"bed","bugs",1087
"contractor","including",1087
"including","damage",1087
"personal","injury",1087
"report","personal",1087
"branches","shrubs",1084
"lumber","tree",1084
"tree","branches",1084
"human","resources",1077
"resources","administration",1077
"class","exemptions",1073
"property's","values",1073
"values","tax",1073
"verizon","telephone",1064
"bail","mailing",1059
"charges","court",1059
"court","date",1059
"date","bail",1059
"inmate's","location",1059
"location","id",1059
"mailing","address",1059
"release","date",1059
"assistance","recipients",1056
"private","individuals",1046
"online","tool",1044
"lien","sale",1039
"funeral","expenses",1034
"request","financial",1034
"airports","airtrain",1027
"ground","transportation",1027
"kennedy","laguardia",1027
"newark","airports",1027
"building","smoking",1015
"smoking","policy",1015
"condo","units",1014
"reduce","property",1014
"public","health",1010
"boiler","repairs",1008
"city","employees",1008
"heap","paying",1008
"heat","utilities",1008
"income","households",1008
"cigarette","vending",1001
"owner","failing",1001
"report","smoking",1001
