"word1","word2","n"
"covid","19",62341
"residential","building",48082
"york","city",46394
"camera","violation",32936
"property","tax",31656
"payment","dispute",28310
"privately","owned",26823
"owned","residential",26567
"camera","violations",26238
"parking","ticket",21647
"parking","permit",20460
"assistance","program",20380
"appeal","status",19878
"19","vaccine",17945
"vehicle","parked",17006
"york","city's",16740
"hot","water",16650
"emergency","vehicle",16611
"parked","illegally",16611
"service","provided",16334
"5","boroughs",15711
"city","agencies",15633
"rental","assistance",15613
"low","income",15249
"increase","exemption",14888
"rent","increase",14888
"complaint","compliment",14736
"fair","fares",14606
"request","filed",13183
"service","request",13183
"social","security",12988
"city's","idnyc",12739
"identification","card",12739
"idnyc","municipal",12739
"municipal","identification",12739
"child","care",12736
"income","households",12575
"food","stamps",12544
"nutrition","assistance",12542
"program","snap",12542
"supplemental","nutrition",12542
"homeless","shelter",12163
"public","assistance",12137
"towed","vehicle",12135
"contact","information",11181
"tax","bill",11066
"pickup","appointment",10744
"renew","replace",10654
"bulk","item",10062
"bulk","items",10062
"item","pickup",10062
"items","schedule",10062
"reschedule","cancel",10062
"schedule","reschedule",10062
"health","guidance",9858
"symptoms","prevention",9858
"birth","certificate",9665
"disputes","including",9516
"including","eviction",9516
"ongoing","disputes",9516
"residential","tenants",9297
"tenants","affected",9297
"senior","citizen",9230
"specific","person",9049
"system","including",8921
"violation","payment",8432
"city","housing",8246
"housing","authority",8246
"public","school",8207
"abandoned","vehicle",8088
"authority","mta",8057
"metropolitan","transportation",8057
"subway","run",8057
"transportation","authority",8057
"housing","preservation",8000
"people","age",7840
"emergency","rental",7838
"program","erap",7838
"specific","address",7811
"moderate","income",7568
"citizen","rent",7444
"exemption","drie",7444
"exemption","scrie",7444
"property","taxes",7395
"treatment","referrals",7336
"covid","federal",7301
"eligible","low",7301
"federal","stimulus",7301
"relief","emergency",7301
"rent","relief",7301
"stimulus","rent",7301
"crisis","services",7299
"free","confidential",7299
"public","property",7252
"account","updates",7244
"appeals","transfers",7244
"drie","including",7244
"including","appeals",7244
"development","hpd",7237
"lost","stolen",7215
"city","jail",7195
"fares","metrocard",7173
"stolen","damaged",7173
"including","threats",7168
"jail","system",7168
"disability","rent",7061
"discount","metrocard",7027
"fares","discount",7027
"metrocard","program",7027
"business","tax",6994
"covid","test",6764
"covid","vaccination",6764
"negative","covid",6764
"proving","covid",6764
"results","correct",6764
"test","results",6764
"vaccination","status",6764
"vaccine","record",6764
"police","service",6750
"psa","locations",6750
"mental","health",6658
"issues","including",6631
"substance","abuse",6556
